2025-04-19 00:01:24,541 | [32mINFO[0m | nl-to-sparql | logging_utils.py:132 | Logging initialized: console=INFO, file=DEBUG
2025-04-19 00:01:38,442 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /microsoft/deberta-v3-base/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2025-04-19 00:01:39,516 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /microsoft/deberta-v3-base/resolve/main/config.json HTTP/1.1" 200 0
2025-04-19 00:02:24,096 | [32mINFO[0m | sentence_transformers.SentenceTransformer | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-04-19 00:02:24,100 | [32mINFO[0m | sentence_transformers.SentenceTransformer | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-04-19 00:02:24,467 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 200 0
2025-04-19 00:02:24,787 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 200 0
2025-04-19 00:02:25,141 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 200 0
2025-04-19 00:02:25,502 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 200 0
2025-04-19 00:02:25,826 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json HTTP/1.1" 200 0
2025-04-19 00:02:31,098 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json HTTP/1.1" 404 0
2025-04-19 00:02:31,545 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json HTTP/1.1" 200 0
2025-04-19 00:02:32,016 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2025-04-19 00:02:32,377 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2/revision/main HTTP/1.1" 200 6761
2025-04-19 00:02:32,775 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2 HTTP/1.1" 200 6761
2025-04-19 00:02:33,941 | DEBUG | httpcore.connection | _trace.py:47 | connect_tcp.started host='localhost' port=6333 local_address=None timeout=5.0 socket_options=None
2025-04-19 00:02:33,943 | DEBUG | httpcore.connection | _trace.py:47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x174eb1af0>
2025-04-19 00:02:33,943 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_headers.started request=<Request [b'GET']>
2025-04-19 00:02:33,943 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_headers.complete
2025-04-19 00:02:33,944 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_body.started request=<Request [b'GET']>
2025-04-19 00:02:33,944 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_body.complete
2025-04-19 00:02:33,944 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_headers.started request=<Request [b'GET']>
2025-04-19 00:02:34,002 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'transfer-encoding', b'chunked'), (b'vary', b'accept-encoding, Origin, Access-Control-Request-Method, Access-Control-Request-Headers'), (b'content-encoding', b'zstd'), (b'content-type', b'application/json'), (b'date', b'Fri, 18 Apr 2025 17:02:33 GMT')])
2025-04-19 00:02:34,003 | [32mINFO[0m | httpx | _client.py:1025 | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2025-04-19 00:02:34,008 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_body.started request=<Request [b'GET']>
2025-04-19 00:02:34,010 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_body.complete
2025-04-19 00:02:34,011 | DEBUG | httpcore.http11 | _trace.py:47 | response_closed.started
2025-04-19 00:02:34,011 | DEBUG | httpcore.http11 | _trace.py:47 | response_closed.complete
2025-04-19 00:02:34,011 | DEBUG | httpcore.connection | _trace.py:47 | close.started
2025-04-19 00:02:34,011 | DEBUG | httpcore.connection | _trace.py:47 | close.complete
2025-04-19 00:02:34,038 | DEBUG | docker.utils.config | config.py:21 | Trying paths: ['/Users/thanhhoang/.docker/config.json', '/Users/thanhhoang/.dockercfg']
2025-04-19 00:02:34,038 | DEBUG | docker.utils.config | config.py:25 | Found file at path: /Users/thanhhoang/.docker/config.json
2025-04-19 00:02:34,038 | DEBUG | docker.auth | auth.py:170 | Found 'auths' section
2025-04-19 00:02:34,038 | DEBUG | docker.auth | auth.py:123 | Auth data for https://index.docker.io/v1/ is absent. Client might be using a credentials store instead.
2025-04-19 00:02:34,038 | DEBUG | docker.auth | auth.py:177 | Found 'credsStore' section
2025-04-19 00:02:34,422 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | http://localhost:None "GET /version HTTP/1.1" 200 None
2025-04-19 00:02:34,434 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | http://localhost:None "GET /v1.43/_ping HTTP/1.1" 200 None
2025-04-19 00:02:34,628 | [32mINFO[0m | sentence_transformers.SentenceTransformer | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-04-19 00:02:34,629 | [32mINFO[0m | sentence_transformers.SentenceTransformer | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-04-19 00:02:35,017 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 200 0
2025-04-19 00:02:35,324 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 200 0
2025-04-19 00:02:35,643 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 200 0
2025-04-19 00:02:36,034 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 200 0
2025-04-19 00:02:36,333 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json HTTP/1.1" 200 0
2025-04-19 00:02:39,367 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json HTTP/1.1" 404 0
2025-04-19 00:02:39,721 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json HTTP/1.1" 200 0
2025-04-19 00:02:40,111 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2025-04-19 00:02:40,554 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2/revision/main HTTP/1.1" 200 6761
2025-04-19 00:02:40,896 | DEBUG | urllib3.connectionpool | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2 HTTP/1.1" 200 6761
2025-04-19 00:02:41,812 | DEBUG | httpcore.connection | _trace.py:47 | connect_tcp.started host='localhost' port=6333 local_address=None timeout=5.0 socket_options=None
2025-04-19 00:02:41,814 | DEBUG | httpcore.connection | _trace.py:47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x173544a30>
2025-04-19 00:02:41,815 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_headers.started request=<Request [b'GET']>
2025-04-19 00:02:41,817 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_headers.complete
2025-04-19 00:02:41,817 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_body.started request=<Request [b'GET']>
2025-04-19 00:02:41,818 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_body.complete
2025-04-19 00:02:41,818 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_headers.started request=<Request [b'GET']>
2025-04-19 00:02:41,944 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'transfer-encoding', b'chunked'), (b'content-encoding', b'zstd'), (b'vary', b'accept-encoding, Origin, Access-Control-Request-Method, Access-Control-Request-Headers'), (b'content-type', b'application/json'), (b'date', b'Fri, 18 Apr 2025 17:02:41 GMT')])
2025-04-19 00:02:41,952 | [32mINFO[0m | httpx | _client.py:1025 | HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
2025-04-19 00:02:42,020 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_body.started request=<Request [b'GET']>
2025-04-19 00:02:42,023 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_body.complete
2025-04-19 00:02:42,024 | DEBUG | httpcore.http11 | _trace.py:47 | response_closed.started
2025-04-19 00:02:42,024 | DEBUG | httpcore.http11 | _trace.py:47 | response_closed.complete
2025-04-19 00:02:42,025 | DEBUG | httpcore.connection | _trace.py:47 | close.started
2025-04-19 00:02:42,029 | DEBUG | httpcore.connection | _trace.py:47 | close.complete
2025-04-19 00:03:11,551 | DEBUG | httpcore.connection | _trace.py:47 | connect_tcp.started host='localhost' port=6333 local_address=None timeout=5.0 socket_options=None
2025-04-19 00:03:11,552 | DEBUG | httpcore.connection | _trace.py:47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x30d3ee070>
2025-04-19 00:03:11,553 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_headers.started request=<Request [b'POST']>
2025-04-19 00:03:11,553 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_headers.complete
2025-04-19 00:03:11,553 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_body.started request=<Request [b'POST']>
2025-04-19 00:03:11,553 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_body.complete
2025-04-19 00:03:11,553 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_headers.started request=<Request [b'POST']>
2025-04-19 00:03:11,638 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'transfer-encoding', b'chunked'), (b'content-type', b'application/json'), (b'content-encoding', b'zstd'), (b'vary', b'accept-encoding, Origin, Access-Control-Request-Method, Access-Control-Request-Headers'), (b'date', b'Fri, 18 Apr 2025 17:03:11 GMT')])
2025-04-19 00:03:11,638 | [32mINFO[0m | httpx | _client.py:1025 | HTTP Request: POST http://localhost:6333/collections/refinement_examples/points/query "HTTP/1.1 200 OK"
2025-04-19 00:03:11,639 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_body.started request=<Request [b'POST']>
2025-04-19 00:03:11,639 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_body.complete
2025-04-19 00:03:11,640 | DEBUG | httpcore.http11 | _trace.py:47 | response_closed.started
2025-04-19 00:03:11,640 | DEBUG | httpcore.http11 | _trace.py:47 | response_closed.complete
2025-04-19 00:03:11,640 | DEBUG | httpcore.connection | _trace.py:47 | close.started
2025-04-19 00:03:11,640 | DEBUG | httpcore.connection | _trace.py:47 | close.complete
2025-04-19 00:03:11,688 | DEBUG | openai._base_client | _base_client.py:454 | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'json_data': {'messages': [{'content': 'You specialize in understanding and refining user queries about knowledge graphs.\nTransform vague, ambiguous, or context-dependent questions into clear, standalone questions that are\nsuitable for conversion to SPARQL. Use conversation history to fill in missing details.\nYour output should be a refined query that captures the semantic intent clearly.', 'role': 'system'}, {'content': "I need you to refine the following user query about a knowledge graph or ontology into a clear, standalone question.\nUse the conversation history to fill in any missing context, resolve references, \nand make sure the query is complete and unambiguous.\n\nCurrent Conversation History:\n\n\nUser Query: What is the identify of Quang Trung\n\nSimilar Examples of Query Refinement:\n\n\nPlease provide the refined query as a standalone question. \nDo not include explanations or additional text, just the refined query.\nEnsure the refined query would make sense even without the conversation history.\nInclude specific entity names whenever they're referenced directly or indirectly.\n", 'role': 'user', 'name': 'QueryRefinementProxy'}], 'model': 'gpt-4o-mini', 'stream': False, 'temperature': 0.0}}
2025-04-19 00:03:11,689 | DEBUG | openai._base_client | _base_client.py:957 | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2025-04-19 00:03:11,689 | DEBUG | httpcore.connection | _trace.py:47 | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=600 socket_options=None
2025-04-19 00:03:11,724 | DEBUG | httpcore.connection | _trace.py:47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1737eddc0>
2025-04-19 00:03:11,724 | DEBUG | httpcore.connection | _trace.py:47 | start_tls.started ssl_context=<ssl.SSLContext object at 0x30d5ffac0> server_hostname='api.openai.com' timeout=600
2025-04-19 00:03:11,759 | DEBUG | httpcore.connection | _trace.py:47 | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1737edb50>
2025-04-19 00:03:11,759 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_headers.started request=<Request [b'POST']>
2025-04-19 00:03:11,759 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_headers.complete
2025-04-19 00:03:11,759 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_body.started request=<Request [b'POST']>
2025-04-19 00:03:11,759 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_body.complete
2025-04-19 00:03:11,759 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_headers.started request=<Request [b'POST']>
2025-04-19 00:03:13,055 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Fri, 18 Apr 2025 17:03:13 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'access-control-expose-headers', b'X-Request-ID'), (b'openai-organization', b'user-azcwg4thexa6yyypiursgjjt'), (b'openai-processing-ms', b'518'), (b'openai-version', b'2020-10-01'), (b'x-ratelimit-limit-requests', b'5000'), (b'x-ratelimit-limit-tokens', b'4000000'), (b'x-ratelimit-remaining-requests', b'4999'), (b'x-ratelimit-remaining-tokens', b'3999742'), (b'x-ratelimit-reset-requests', b'12ms'), (b'x-ratelimit-reset-tokens', b'3ms'), (b'x-request-id', b'req_83156069d6d8b1bd62505e6791c426b4'), (b'strict-transport-security', b'max-age=31536000; includeSubDomains; preload'), (b'cf-cache-status', b'DYNAMIC'), (b'Set-Cookie', b'__cf_bm=ThgjhCPnyp36E.huDtoqzUxCag6jtoEZ6ErxdxyeXP8-1744995793-1.0.1.1-eu1tinOR0RSxVNjDIo3JczPa2_xRZmOME1xQMnt8nuFFXs3a5KI8aKG9V2B6OXQdGyL_G4oyVs7_1HIXHMdvJDOX3PnqhFu93keuW_aCIX8; path=/; expires=Fri, 18-Apr-25 17:33:13 GMT; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), (b'X-Content-Type-Options', b'nosniff'), (b'Set-Cookie', b'_cfuvid=0ojPr11_bvzwEHE0LAGignmzK7mDlGrVNXalFk9KkU0-1744995793066-0.0.1.1-604800000; path=/; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), (b'Server', b'cloudflare'), (b'CF-RAY', b'9325bbf2b8f802be-HKG'), (b'Content-Encoding', b'gzip'), (b'alt-svc', b'h3=":443"; ma=86400')])
2025-04-19 00:03:13,055 | [32mINFO[0m | httpx | _client.py:1025 | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-04-19 00:03:13,063 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_body.started request=<Request [b'POST']>
2025-04-19 00:03:13,063 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_body.complete
2025-04-19 00:03:13,063 | DEBUG | httpcore.http11 | _trace.py:47 | response_closed.started
2025-04-19 00:03:13,063 | DEBUG | httpcore.http11 | _trace.py:47 | response_closed.complete
2025-04-19 00:03:13,063 | DEBUG | openai._base_client | _base_client.py:996 | HTTP Response: POST https://api.openai.com/v1/chat/completions "200 OK" Headers([('date', 'Fri, 18 Apr 2025 17:03:13 GMT'), ('content-type', 'application/json'), ('transfer-encoding', 'chunked'), ('connection', 'keep-alive'), ('access-control-expose-headers', 'X-Request-ID'), ('openai-organization', 'user-azcwg4thexa6yyypiursgjjt'), ('openai-processing-ms', '518'), ('openai-version', '2020-10-01'), ('x-ratelimit-limit-requests', '5000'), ('x-ratelimit-limit-tokens', '4000000'), ('x-ratelimit-remaining-requests', '4999'), ('x-ratelimit-remaining-tokens', '3999742'), ('x-ratelimit-reset-requests', '12ms'), ('x-ratelimit-reset-tokens', '3ms'), ('x-request-id', 'req_83156069d6d8b1bd62505e6791c426b4'), ('strict-transport-security', 'max-age=31536000; includeSubDomains; preload'), ('cf-cache-status', 'DYNAMIC'), ('set-cookie', '__cf_bm=ThgjhCPnyp36E.huDtoqzUxCag6jtoEZ6ErxdxyeXP8-1744995793-1.0.1.1-eu1tinOR0RSxVNjDIo3JczPa2_xRZmOME1xQMnt8nuFFXs3a5KI8aKG9V2B6OXQdGyL_G4oyVs7_1HIXHMdvJDOX3PnqhFu93keuW_aCIX8; path=/; expires=Fri, 18-Apr-25 17:33:13 GMT; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), ('x-content-type-options', 'nosniff'), ('set-cookie', '_cfuvid=0ojPr11_bvzwEHE0LAGignmzK7mDlGrVNXalFk9KkU0-1744995793066-0.0.1.1-604800000; path=/; domain=.api.openai.com; HttpOnly; Secure; SameSite=None'), ('server', 'cloudflare'), ('cf-ray', '9325bbf2b8f802be-HKG'), ('content-encoding', 'gzip'), ('alt-svc', 'h3=":443"; ma=86400')])
2025-04-19 00:03:13,063 | DEBUG | openai._base_client | _base_client.py:1004 | request_id: req_83156069d6d8b1bd62505e6791c426b4
2025-04-19 00:03:14,726 | DEBUG | openai._base_client | _base_client.py:454 | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'json_data': {'messages': [{'content': 'You are a professional developer with experience in writing SPARQL for ontology file. Your task is to create a plan to transform the provided natural query to SPARQL. Please follow the detailed instruction below:\n        - If a query need to compute or find out the interval of time, divide query into simple natural queries and merge queries in last step. Else please not change the query.\n        - Add level for each step: **simple**: can generate query immediately and **complex**: must use previous queries.\n        - Add type of SPARQL query for each step: SELECT, ASK, DESCRIBE and CONSTRUCT.\n        - Do not create SPARQL query.\n        - If can not create plan to transform to SPARQL, the output is []\n        The output format must be following this format: \n        [{"step": "step query", "sparql_type": "SELECT or ASK or DESCRIBE or CONSTRUCT", "level": "simple or complex"}, ...]', 'role': 'system'}, {'content': 'What is the identity of Quang Trung in the knowledge graph?', 'role': 'user'}], 'model': 'gpt-4o-mini', 'stream': False, 'temperature': 0.0}}
2025-04-19 00:03:14,727 | DEBUG | openai._base_client | _base_client.py:957 | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2025-04-19 00:03:14,727 | DEBUG | httpcore.connection | _trace.py:47 | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=None socket_options=None
2025-04-19 00:03:14,756 | DEBUG | httpcore.connection | _trace.py:47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1737ed640>
2025-04-19 00:03:14,756 | DEBUG | httpcore.connection | _trace.py:47 | start_tls.started ssl_context=<ssl.SSLContext object at 0x30d5ffc40> server_hostname='api.openai.com' timeout=None
2025-04-19 00:03:14,795 | DEBUG | httpcore.connection | _trace.py:47 | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x1737ed8b0>
2025-04-19 00:03:14,796 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_headers.started request=<Request [b'POST']>
2025-04-19 00:03:14,796 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_headers.complete
2025-04-19 00:03:14,796 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_body.started request=<Request [b'POST']>
2025-04-19 00:03:14,796 | DEBUG | httpcore.http11 | _trace.py:47 | send_request_body.complete
2025-04-19 00:03:14,796 | DEBUG | httpcore.http11 | _trace.py:47 | receive_response_headers.started request=<Request [b'POST']>
